,Lesson(s) Learned Level 1,Driving Event Level 1,Recommendation(s) Level 1,Lesson IDs for row,Number of lessons for row
721,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","management, project, lack, formal, manager, organization, contractor, request, risk, development","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[19, 45, 154, 221, 223, 290, 447, 553, 862, 1393, 1613, 2837, 5336]",13
722,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","management, project, lack, formal, manager, organization, contractor, request, risk, development","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[82],1
723,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","management, project, lack, formal, manager, organization, contractor, request, risk, development","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[26],1
724,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","management, project, lack, formal, manager, organization, contractor, request, risk, development","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify",[371],1
725,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[14801],1
726,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[43, 102, 137, 188, 212, 216, 231, 301, 484, 990, 1428, 4236, 10701]",13
727,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[1862],1
728,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[1863],1
729,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[1623],1
730,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[1389],1
731,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector","[672, 714, 1369]",3
732,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[1359],1
733,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[1309],1
734,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[376, 1188, 1376]",3
735,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","crane, strap, second, lift, load, redesign, release, secure, stop, modify",[927],1
736,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[317, 861, 883, 945, 1483, 1501, 1733, 2156, 5201, 6146, 6357, 6656, 25801]",13
737,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[471, 699, 878, 1130, 26703]",5
738,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[261, 323, 352, 384, 542, 645, 654, 717, 731, 756, 783, 793, 806, 811, 855, 1061, 1279, 1532]",18
739,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[805],1
740,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[812],1
741,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[688, 881, 1132, 5003]",4
742,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[273, 370, 612, 6536]",4
743,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[610],1
744,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector",[601],1
745,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","real time, stable, share, command sequence, remote, real, reduce, likelihood, file, center wide","[451, 563, 19501]",3
746,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","measure, bearing, constrain, impose, attitude control, frequency, limitation, constraint, condition, performance","[32, 103, 128, 235, 257, 298, 310, 399, 545, 613, 767, 857, 936, 1049, 1071, 1624, 2876, 3640, 5876, 6758]",20
747,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic",[479],1
748,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","[418, 1224, 3259]",3
749,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[207, 4016, 4058]",3
750,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[117, 946, 1240, 4217]",4
751,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[83],1
752,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[76, 90, 114, 120, 139, 175, 195, 228, 292, 580, 592, 670, 742, 1734, 6416, 18502]",16
753,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[40],1
754,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify",[293],1
755,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","[18, 84, 249, 345, 1804]",5
756,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","crane, strap, second, lift, load, redesign, release, secure, stop, modify",[296],1
757,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[363],1
758,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","electronics, tape, scenario, spacecraft, possibility, vent, consideration, position, significant, capability","[380, 597, 726, 923, 2056, 2158]",6
759,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","passage, blockage, quick disconnect, science instrument, compression, flow path, alteration, loosen, horsepower, gathering","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify","[261, 323, 352, 384, 542, 645, 654, 717, 731, 756, 783, 793, 806, 811, 855, 1061, 1279, 1532]",18
760,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","pound, research center, particle size, high density, manipulation, warning, solid propellant, larc, cast, destroyed","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[713, 1487, 1780]",3
761,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","pound, research center, particle size, high density, manipulation, warning, solid propellant, larc, cast, destroyed","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor",[372],1
762,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[3396],1
763,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[541, 765, 845, 1197, 1228, 1230, 5183]",7
764,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[691],1
765,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","real time, stable, share, command sequence, remote, real, reduce, likelihood, file, center wide",[316],1
766,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","circuit, temperature, redundant, part stress, transient, assume, selection, stress, mode, consider","[277, 348]",2
767,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[5, 661, 1778, 3277, 4057]",5
768,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[27003],1
769,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[554, 687, 705, 763, 789, 15702]",6
770,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[32, 103, 128, 235, 257, 298, 310, 399, 545, 613, 767, 857, 936, 1049, 1071, 1624, 2876, 3640, 5876, 6758]",20
771,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[63, 1178, 5216]",3
772,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[97, 119, 140, 141, 187, 846, 3197, 3759]",8
773,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[429, 1153, 3116]",3
774,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[2276],1
775,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection",[1795],1
776,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[68, 449, 1595]",3
777,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","[850, 14101]",2
778,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[196, 236, 1253, 2576]",4
779,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[63, 1178, 5216]",3
780,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[142, 1017, 1134, 1388, 5044]",5
781,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[950],1
782,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","vacuum, extend period, plate, hour, extend, carefully, consider, mount, period, temperature",[962],1
783,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","install, feature, joint, assembly, component, opportunity, delivery, prior delivery, minimize potential, deal","[643, 914, 1023, 1085, 1096, 1349, 1582, 1832, 2057]",9
784,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","proof, arise, coordinate, briefing, fail, electronic, personnel involve, clearly, monthly, fixture",[902],1
785,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[355, 856, 1048, 1622]",4
786,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[317, 861, 883, 945, 1483, 1501, 1733, 2156, 5201, 6146, 6357, 6656, 25801]",13
787,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[261, 323, 352, 384, 542, 645, 654, 717, 731, 756, 783, 793, 806, 811, 855, 1061, 1279, 1532]",18
788,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","mandatory, conflict, safety concern, prior release, incoming, mandatory inspection, paper, space center, release, section","[463, 716, 764, 820, 839, 3177]",6
789,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[834, 17601]",2
790,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[785, 816]",2
791,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[554, 687, 705, 763, 789, 15702]",6
792,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[446, 758, 879]",3
793,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","[209, 268, 286, 294, 757, 1241, 5897]",7
794,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[602, 734, 762, 804, 810, 835, 891, 1057, 12101]",9
795,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[701],1
796,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","crane, strap, second, lift, load, redesign, release, secure, stop, modify","[258, 647, 698]",3
797,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[672, 714, 1369]",3
798,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[635],1
799,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","[528, 981]",2
800,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","rate, destructive, solar, earth, appear, radiation, acceptable, general, state, error","[224, 518, 653, 656, 657, 663, 704, 706, 715, 721, 791, 1018, 1165, 1261, 1626]",15
801,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[470],1
802,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[472],1
803,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[471, 699, 878, 1130, 26703]",5
804,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","[19, 45, 154, 221, 223, 290, 447, 553, 862, 1393, 1613, 2837, 5336]",13
805,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","[415, 420, 499]",3
806,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","installation, clearance, match, fidelity, examine, thoroughly, carefully, concern, correct, identify",[387],1
807,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[313, 410, 550, 730, 797]",5
808,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[252],1
809,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[239],1
810,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[123],1
811,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[267],1
812,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[32, 103, 128, 235, 257, 298, 310, 399, 545, 613, 767, 857, 936, 1049, 1071, 1624, 2876, 3640, 5876, 6758]",20
813,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[156, 622, 1019, 1211, 1325, 1351, 1398, 1500, 1621, 4416, 19101]",11
814,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","[209, 268, 286, 294, 757, 1241, 5897]",7
815,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","electronics, tape, scenario, spacecraft, possibility, vent, consideration, position, significant, capability",[4019],1
816,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","circuit, temperature, redundant, part stress, transient, assume, selection, stress, mode, consider","[124, 225, 279, 607, 609, 800, 882, 1743, 1879, 16901]",10
817,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","[259, 1599, 1777, 3316]",4
818,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","[289, 1310]",2
819,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[354, 771, 1104, 1489, 2017]",5
820,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[529],1
821,"loss, adhere, failure adhere, loss mission, life, proven, loss life, delay, mission, vehicle","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[476],1
