,Agency,Unit,Region,Location,Date,Local Time,Date Submitted,Tracking #,Mission Type,Procurement Type,Persons Onboard,Departure Point,Destination,Special Use,Damages,Injuries,Hazardous Materials,Other Procurement Type,Other Mission Type,Type,Manufacturer,Model,Narrative,Corrective Action,Hazard,Incident,Management,UAS,Accident,Airspace,Maintenance,Mishap Prevention,Extractive Summarized Narrative,Extractive Summarized Corrective Action,Abstractive Summarized Narrative,Abstractive Summarized Corrective Action,Text
142,Forest Service (USFS),Francis Marion & Sumter NF,Region 08 Southern Area Region,Longcane Ranger District Comp 319B,2/3/2021,3:30 PM,,21-0169,"Fire, Aerial Ignition",Fleet,0.0,34 0.56 x 81 57.96,Compartment 319B RX,No,No,No,No,,UAS Aerial Ignition,Unmanned Aircraft System (UAS),DJI,M600,"On Feb 3rd at approximately 1530, UASP was conducting aerial ignitions for prescribed fire on the XX National Forest. During a routine aerial ignition flight, a red puncture motion error was observed. The UASP identified the error as critical, stayed within the burn unit and initiated the emergency release protocol. After further securing the UAS the Pilot returned the aircraft to the home location. Upon inspection it was observed that the puncture needle was dislodged from its mounted position. Further observation of the needle and housing revealed no obvious damage or abnormalities. ","Inspect the needles to ensure the proper alignment and orientation routinely.

RASM:  Concur with corrective actions.  Additionally, consider incorporating a needle check into the preflight and during the “through flight check” (an abbreviated pre-flight conducted in conducted between flights, for example at battery swaps or some similar/triggered opportunity).  This condition is certainly something to monitor in case it becomes a trend and might need a redesign evaluation.
",,,,"UAS, Fleet Operation",,,,,"On Feb 3rd at approximately 1530, UASP was conducting aerial ignitions for prescribed fire on the XX National Forest. After further securing the UAS the Pilot returned the aircraft to the home location. Further observation of the needle and housing revealed no obvious damage or abnormalities.",Inspect the needles to ensure the proper alignment and orientation routinely.,<pad> a red puncture motion error was observed during a routine aerial ignition flight. the error was identified as critical and the pilot initiated the emergency release protocol. Upon inspection the needle was dislodged from its mounted position.</s>,"<pad> incorporating a needle check into the preflight and during the ""through flight check"" consider incorporating a needle check into the preflight and during the ""through flight check""</s>","On Feb 3rd at approximately 1530, UASP was conducting aerial ignitions for prescribed fire on the XX National Forest. During a routine aerial ignition flight, a red puncture motion error was observed. The UASP identified the error as critical, stayed within the burn unit and initiated the emergency release protocol. After further securing the UAS the Pilot returned the aircraft to the home location. Upon inspection it was observed that the puncture needle was dislodged from its mounted position. Further observation of the needle and housing revealed no obvious damage or abnormalities.  Inspect the needles to ensure the proper alignment and orientation routinely.

RASM:  Concur with corrective actions.  Additionally, consider incorporating a needle check into the preflight and during the “through flight check” (an abbreviated pre-flight conducted in conducted between flights, for example at battery swaps or some similar/triggered opportunity).  This condition is certainly something to monitor in case it becomes a trend and might need a redesign evaluation.
"
143,Fish & Wildlife Service (FWS),Florida Panther NWR,R4-Southeast Regional Office,Florida Panther NWR,2/18/2021,1:30 PM,,21-0172,"Fire, Reconnaissance",Fleet,0.0, 26° 12.705'N  81° 25.985'W, 26° 12.705'N  81° 25.985'W,Yes,No,No,No,,,Unmanned Aircraft System (UAS),Parrot,Anafi Thermal,"A Parrot Anafi Thermal was in use for situational awareness during a prescribed burn.  The pilot had already completed three flights that day, with minimal issues.  During the second flight, the GCS indicated that the signal between controller and aircraft was weak, and “Return to Home” would be initiated soon, but pilot increased altitude and the signal improved, and RTH was not initiated.  Prior to take off for the third flight, both the controller and aircraft GPS signal did not lock (did not turn green).  After waiting 1-2 minutes, and repositioning the aircraft, both GPS remained red.  The aircraft was rebooted, and shortly after that, both GPS turned green.  There were no anomalies during the third flight.  During the fourth flight, no issues were noted prior to take-off or during the first 15 minutes of flight, but at about 15 minutes the controller provided haptic feedback and indicated that the aircraft GPS signal was lost, and the aircraft was auto-landing in place.  The GCS did not provide an option to cancel the auto-landing.  The pilot attempted to break out of the auto-landing by providing various control inputs (climb, pitch forward, yaw, return to home), but the aircraft did not respond and the video feed was lost as it descended below the tree line and out of sight.   The pilot was driven to within 500 feet of the last known location of the aircraft, as noted by the GCS, but the aircraft did not reconnect with the GCS.  The pilot and members of the fire crew performed a search of the area, but the suspected landing area was a pine forest with a thick under story of saw palmetto, and the aircraft was not recovered.  At the time the aircraft descended, the area beneath it was green, but within an hour, the advancing fire burned over much of the area.  
The GCS app in use for all flights was the Parrot FreeFlight 6 app.  All flights conducted in manual flight mode.  Prior to all flights, the safety settings on the GCS were verified that the aircraft would Return to Home and land In case of signal loss (and not land in place or hover in place).  A geofence of .7 miles was set to keep the aircraft within its specified flight range.  The aircraft was within line of sight of the pilot at all times, maintaining a position above the tree line, and the pilot had eyes on aircraft at the time the GCS indicated the GPS signal loss.  The last known location of the aircraft was approximately 2400 feet from the pilot, and there was no indication that the radio signal was weak (no on-screen warning) prior to the auto-land activating, nor during any telemetry checks during the flight.  The issue during the second flight with a weak signal seems to confirm that the aircraft would return to home if it lost signal, but evidence suggests the aircraft lost both GPS signal and the radio signal to the GCS at the same time.    
","Without flight log data from the aircraft, the cause of the auto-land remains unknown.  There is no information in the manual concerning loss of GPS events, and no way to simulate it occurring mid-flight.  Ideally, further testing of RTH due to loss of link, in a controlled environment, should be conducted to see if the issue can be replicated. 

Pilot performed as qualified and operated the sUAS appropriately.  As technological anomalies will happen, sUAS pilots should always consider all trouble shooting options and system functionality tests.

sUAS operators should explore all options possible for locating downed sUAS aircraft.  See OAS investigation summary.

Thank you for submitting to SAFECOM.",,,,"Fleet Operation, Loss of Link, Loss of GPS",,,,,"A Parrot Anafi Thermal was in use for situational awareness during a prescribed burn. All flights conducted in manual flight mode. The last known location of the aircraft was approximately 2400 feet from the pilot, and there was no indication that the radio signal was weak (no on-screen warning) prior to the auto-land activating, nor during any telemetry checks during the flight.","Without flight log data from the aircraft, the cause of the auto-land remains unknown.","<pad> a parrot Anafi thermal was in use for situational awareness during a prescribed burn. the pilot had completed three flights that day, with minimal issues. the pilot was driven to within 500 feet of the last known location of the aircraft.</s>","<pad> without flight log data, the cause of the auto-land remains unknown. there is no way to simulate it occurring mid-flight. sUAS pilots should always consider all trouble shooting options.</s>","A Parrot Anafi Thermal was in use for situational awareness during a prescribed burn.  The pilot had already completed three flights that day, with minimal issues.  During the second flight, the GCS indicated that the signal between controller and aircraft was weak, and “Return to Home” would be initiated soon, but pilot increased altitude and the signal improved, and RTH was not initiated.  Prior to take off for the third flight, both the controller and aircraft GPS signal did not lock (did not turn green).  After waiting 1-2 minutes, and repositioning the aircraft, both GPS remained red.  The aircraft was rebooted, and shortly after that, both GPS turned green.  There were no anomalies during the third flight.  During the fourth flight, no issues were noted prior to take-off or during the first 15 minutes of flight, but at about 15 minutes the controller provided haptic feedback and indicated that the aircraft GPS signal was lost, and the aircraft was auto-landing in place.  The GCS did not provide an option to cancel the auto-landing.  The pilot attempted to break out of the auto-landing by providing various control inputs (climb, pitch forward, yaw, return to home), but the aircraft did not respond and the video feed was lost as it descended below the tree line and out of sight.   The pilot was driven to within 500 feet of the last known location of the aircraft, as noted by the GCS, but the aircraft did not reconnect with the GCS.  The pilot and members of the fire crew performed a search of the area, but the suspected landing area was a pine forest with a thick under story of saw palmetto, and the aircraft was not recovered.  At the time the aircraft descended, the area beneath it was green, but within an hour, the advancing fire burned over much of the area.  
The GCS app in use for all flights was the Parrot FreeFlight 6 app.  All flights conducted in manual flight mode.  Prior to all flights, the safety settings on the GCS were verified that the aircraft would Return to Home and land In case of signal loss (and not land in place or hover in place).  A geofence of .7 miles was set to keep the aircraft within its specified flight range.  The aircraft was within line of sight of the pilot at all times, maintaining a position above the tree line, and the pilot had eyes on aircraft at the time the GCS indicated the GPS signal loss.  The last known location of the aircraft was approximately 2400 feet from the pilot, and there was no indication that the radio signal was weak (no on-screen warning) prior to the auto-land activating, nor during any telemetry checks during the flight.  The issue during the second flight with a weak signal seems to confirm that the aircraft would return to home if it lost signal, but evidence suggests the aircraft lost both GPS signal and the radio signal to the GCS at the same time.    
 Without flight log data from the aircraft, the cause of the auto-land remains unknown.  There is no information in the manual concerning loss of GPS events, and no way to simulate it occurring mid-flight.  Ideally, further testing of RTH due to loss of link, in a controlled environment, should be conducted to see if the issue can be replicated. 

Pilot performed as qualified and operated the sUAS appropriately.  As technological anomalies will happen, sUAS pilots should always consider all trouble shooting options and system functionality tests.

sUAS operators should explore all options possible for locating downed sUAS aircraft.  See OAS investigation summary.

Thank you for submitting to SAFECOM."
144,Forest Service (USFS),Santa Fe NF,Region 03 Southwest Region,Santa Fe,4/4/2021,3:00 PM,,21-0214,"Fire, Aerial Ignition (Prescribed)",CWN (Call when needed),3.0,Nichols Helispot,Pacheco RX,No,No,No,No,,,Helicopter,Airbus,AS-350B3E,"During PSD Operations on the prescribed fire, on the last firing cycle, a drone was sighted by Battalion above the fire line.  The drone was sighted in the NW corner of the burn, approximately .5 mile from the helicopter conducting aerial ignition.  ","Battalion informed the helicopter of the drone and its location.  The Firing Boss on board stopped the PSD operations and directed the helicopter pilot to turn immediately to the SE across the valley and ascended to an elevation of 12,000 MSL.  The ground resources monitored the drone and contacted the Prevention nearby to try and determine the operator’s location.  They witnessed the drone depart to the North and after 20 minutes, the helicopter returned to complete the firing operation after a high- and low-level recon of the entire area.  The drone and its operator were not located.  A NOTAM was in effect for the prescribed fire (SAF 04/004).  

RASM – TFR cannot be issued for non-emergency events, such as prescribed fire.   Regional UAS Specialist will be providing information to the Regional Communication Specialist plus Forest PAO/PIO on the continuation of the “You Fly, We Can’t” campaign which informs the public of the hazards associated with flying drones in the proximity of wildland and prescribed fires.   

Kudos to ground personnel observing and promptly informing the flight crew of the drone, to the Firing Boss for taking evasive action, and to the PSD crew for reporting the incident.  
",,,,Incursion,,UAS,,Kudos,"During PSD Operations on the prescribed fire, on the last firing cycle, a drone was sighted by Battalion above the fire line. The drone was sighted in the NW corner of the burn, approximately .5 mile from the helicopter conducting aerial ignition.",Battalion informed the helicopter of the drone and its location.,"<pad> a drone was sighted above the fire line during PSD Operations on the prescribed fire. the drone was sighted in the NW corner of the burn, approximately.5 mile from the helicopter conducting aerial ignition.</s>","<pad> the Firing Boss on board stopped the PSD operations and directed the helicopter pilot to turn immediately to the SE across the valley and ascended to an elevation of 12,000 MSL. the ground resources monitored the drone and contacted the Prevention nearby to try and determine the operator’s location. the drone and its operator were not located.</s>","During PSD Operations on the prescribed fire, on the last firing cycle, a drone was sighted by Battalion above the fire line.  The drone was sighted in the NW corner of the burn, approximately .5 mile from the helicopter conducting aerial ignition.   Battalion informed the helicopter of the drone and its location.  The Firing Boss on board stopped the PSD operations and directed the helicopter pilot to turn immediately to the SE across the valley and ascended to an elevation of 12,000 MSL.  The ground resources monitored the drone and contacted the Prevention nearby to try and determine the operator’s location.  They witnessed the drone depart to the North and after 20 minutes, the helicopter returned to complete the firing operation after a high- and low-level recon of the entire area.  The drone and its operator were not located.  A NOTAM was in effect for the prescribed fire (SAF 04/004).  

RASM – TFR cannot be issued for non-emergency events, such as prescribed fire.   Regional UAS Specialist will be providing information to the Regional Communication Specialist plus Forest PAO/PIO on the continuation of the “You Fly, We Can’t” campaign which informs the public of the hazards associated with flying drones in the proximity of wildland and prescribed fires.   

Kudos to ground personnel observing and promptly informing the flight crew of the drone, to the Firing Boss for taking evasive action, and to the PSD crew for reporting the incident.  
"
145,National Park Service (NPS),Big Cypress NP,Southeast Region,Ochopee,4/3/2021,12:00 AM,,21-0215,"Fire, Aerial Ignition (Prescribed)",Fleet,3.0,Big Cypress NP Headquaters Helibase,Ochopee B Rx,No,No,No,No,,,Helicopter,Bell,206 B3 Jet Ranger,"During aerial ignition operations on a prescribed burn at Big Cypress National Preserve, the burn boss informed the aerial ignition helicopter that a UAS was seen in the northeast corner of the burn unit. The helicopter was heading in the general direction described by the burn boss. 

The helicopter was at a good point to pause aerial ignitions and immediately returned to the helibase located in the opposite direction of the airborne UAS. The helicopter landed safely at the helibase within 5 minutes of being notified of the UAS. ",The burn boss identified the UAS pilot shortly after communicating with the aerial ignition helicopter. The UAS pilot was told to land the aircraft immediately and keep it on the ground. The burn boss informed the UAS pilot of the risk associated with UAS and helicopters working in the same area. Law Enforcement were informed of the situation. Additionally the pilot was informed that flying UAS over NPS land is prohibited. ,,,,Incursion,,"Conflict, UAS",,,"During aerial ignition operations on a prescribed burn at Big Cypress National Preserve, the burn boss informed the aerial ignition helicopter that a UAS was seen in the northeast corner of the burn unit. The helicopter was heading in the general direction described by the burn boss. The helicopter was at a good point to pause aerial ignitions and immediately returned to the helibase located in the opposite direction of the airborne UAS.",The burn boss identified the UAS pilot shortly after communicating with the aerial ignition helicopter.,<pad> burn boss alerted aerial ignition helicopter that a UAS was seen in the northeast corner of the burn unit. the helicopter was at a good point to pause aerial ignitions and immediately returned to the helibase.</s>,<pad> the burn boss identified the pilot shortly after communicating with the aerial ignition helicopter. the pilot was told to land the aircraft immediately and keep it on the ground. flying UAS over NPS land is prohibited.</s>,"During aerial ignition operations on a prescribed burn at Big Cypress National Preserve, the burn boss informed the aerial ignition helicopter that a UAS was seen in the northeast corner of the burn unit. The helicopter was heading in the general direction described by the burn boss. 

The helicopter was at a good point to pause aerial ignitions and immediately returned to the helibase located in the opposite direction of the airborne UAS. The helicopter landed safely at the helibase within 5 minutes of being notified of the UAS.  The burn boss identified the UAS pilot shortly after communicating with the aerial ignition helicopter. The UAS pilot was told to land the aircraft immediately and keep it on the ground. The burn boss informed the UAS pilot of the risk associated with UAS and helicopters working in the same area. Law Enforcement were informed of the situation. Additionally the pilot was informed that flying UAS over NPS land is prohibited. "
146,State,,Pennsylvania,"41 12 59 N, 077 14 55 W",4/8/2021,5:51 PM,,21-0236,"Fire, Retardant Drop (SEAT)",Exclusive use contract,1.0,Hazleton Airtanker Base,Cement Hollow Fire,Yes,No,No,No,,,Airtanker (SEAT),Air Tractor,AT802A,"A drone incursion occurred  while a SEAT was on final for the dry run for his second drop on the Cement Hollow Fire.  An UAS was identified in the drop area. The UAS was reported to dispatch.  The local law enforcement was notified and tried to find owner.  
The UAV has left the scene and the the second retardant drop took place without incident. No TFR was in place. ",The owner of UAV was located by law enforcement and  was told to ground the UAV. A  temporary TFR may have avoided this incident. Communication and education continues to be a be a major concern with UAS operators.,,,,Incursion,,"Intrusion, UAS",,,A drone incursion occurred  while a SEAT was on final for the dry run for his second drop on the Cement Hollow Fire. The local law enforcement was notified and tried to find owner. The UAV has left the scene and the the second retardant drop took place without incident.,The owner of UAV was located by law enforcement and  was told to ground the UAV.,<pad> a drone incursion occurred while a SEAT was on final for the dry run for his second drop on the Cement Hollow Fire. the second retardant drop took place without incident. no TFR was in place.</s>,<pad> owner of UAV was located by law enforcement and was told to ground the UAV. a temporary TFR may have avoided this incident. communication and education continues to be a major concern with operators.</s>,"A drone incursion occurred  while a SEAT was on final for the dry run for his second drop on the Cement Hollow Fire.  An UAS was identified in the drop area. The UAS was reported to dispatch.  The local law enforcement was notified and tried to find owner.  
The UAV has left the scene and the the second retardant drop took place without incident. No TFR was in place.  The owner of UAV was located by law enforcement and  was told to ground the UAV. A  temporary TFR may have avoided this incident. Communication and education continues to be a be a major concern with UAS operators."
147,State,,Pennsylvania,"41 02 11 N, 75 19 44 W ",4/3/2021,2:37 PM,,21-0237,"Fire, Water Drop (Helicopter Bucket)",Exclusive use contract,1.0,Penn Forest Helibase,"Alpha Fire, 19(21)1-024",Yes,No,No,No,,,Helicopter,Bell,OH58A,Helicopter was in-flight to wildfire. IC of fire contacted base manager with information related to UAS in vicinity of fire. The helicopter was contacted via radio to check up short of fire due to UAS incursion on fire. Ground personnel were unable to locate the source of UAS and IC ordered the helicopter to RTB.  ,Helicopter was ordered to return without ever working the fire. The source of the UAS was never located. A temporary TFR may have helped to prevent this incident.  Communication and education needs to continue to be a regional priority. ,,,,Incursion,,"Intrusion, UAS",,,IC of fire contacted base manager with information related to UAS in vicinity of fire. The helicopter was contacted via radio to check up short of fire due to UAS incursion on fire. Ground personnel were unable to locate the source of UAS and IC ordered the helicopter to RTB.,Helicopter was ordered to return without ever working the fire.,<pad> ground personnel were unable to locate the source of UAS. ground personnel were unable to locate the source of UAS. ground personnel were unable to locate the source of UAS.</s>,<pad> the source of the UAS was never located. a temporary TFR may have helped to prevent this incident. communication and education needs to continue to be a regional priority.</s>,Helicopter was in-flight to wildfire. IC of fire contacted base manager with information related to UAS in vicinity of fire. The helicopter was contacted via radio to check up short of fire due to UAS incursion on fire. Ground personnel were unable to locate the source of UAS and IC ordered the helicopter to RTB.   Helicopter was ordered to return without ever working the fire. The source of the UAS was never located. A temporary TFR may have helped to prevent this incident.  Communication and education needs to continue to be a regional priority. 
148,State,CDF - CALFIRE - San Bernardino RU,California,Cajon Pass,5/4/2021,16::00 AM,,21-0266,"Fire, Air Attack",Exclusive use contract,3.0,KSBD,Devore Incident,Yes,No,No,No,,,Airplane,Aero Commander,690A,"While working the Devore incident, Approximately 1600 after releasing the last helicopter assigned a UAS entered the FTA at approximately 4000' (AA was at 5000') and made 3 orbits in the fire area then departed to the north. Maintained visual as long as we could lost sight of it about 1 mile north of the fire
and was not able to locate a launch site.","Notified the IC and dispatch. Briefed incoming air attack of intrusion and general location it was last seen  Aviation Safety Comments: Nice work by the crew on passing down the siting and location. Other information that is useful for pass-down and reporting are the UAS' size, color, and type (rotor/fixed).  For review, attached to this SAFECOM is the NWCG Unmanned Aircraft System Incursion Protocol for Wildland Firefighters.",,,,Incursion,,"Intrusion, UAS",,,"While working the Devore incident, Approximately 1600 after releasing the last helicopter assigned a UAS entered the FTA at approximately 4000' (AA was at 5000') and made 3 orbits in the fire area then departed to the north. Maintained visual as long as we could lost sight of it about 1 mile north of the fire
and was not able to locate a launch site.",Briefed incoming air attack of intrusion and general location it was last seen  Aviation Safety Comments: Nice work by the crew on passing down the siting and location.,<pad> Approximately 1600 after releasing the last helicopter assigned a UAS entered the FTA at approximately 4000' (AA was at 5000') made 3 orbits in the fire area then departed to the north.</s>,"<pad> incoming air attack of intrusion and general location it was last seen. Nice work by the crew on passing down the siting and location. other information that is useful for pass-down and reporting are the UAS' size, color, and type (rotor/fixed).</s>","While working the Devore incident, Approximately 1600 after releasing the last helicopter assigned a UAS entered the FTA at approximately 4000' (AA was at 5000') and made 3 orbits in the fire area then departed to the north. Maintained visual as long as we could lost sight of it about 1 mile north of the fire
and was not able to locate a launch site. Notified the IC and dispatch. Briefed incoming air attack of intrusion and general location it was last seen  Aviation Safety Comments: Nice work by the crew on passing down the siting and location. Other information that is useful for pass-down and reporting are the UAS' size, color, and type (rotor/fixed).  For review, attached to this SAFECOM is the NWCG Unmanned Aircraft System Incursion Protocol for Wildland Firefighters."
149,Forest Service (USFS),Carson NF,Region 03 Southwest Region,Poso Fire,6/11/2021,15::38 AM,,21-0343,"Fire, Reconnaissance",Exclusive use contract,2.0,Poso Helispot,Poso Fire,No,No,No,No,,,Unmanned Aircraft System (UAS),DJI,M600,"On 6/11/21, at approximately 12:00 MDT, UAS ""Unmanned Romeo 3"" called into Dispatch that they were taking off on a ""resource flight"" in the area of Borracho Canyon, near the edge of the Fire working within a 1.5-mile radius. Approximately 3.5 hours later, at 15:38, Helicopter XXX called Dispatch to announce that they would be flying a reconnaissance mission over the fire. At 15:49, the UAS operator called in to let us know that Unmanned Romeo was on the ground and they would let us know when they lifted again. When Helicopter XXX landed, shortly after 16:00, Dispatch received a call from the IC that the UAS crew had some concerns that Dispatch did not alert them that the Helicopter was about to fly over the Fire.","After consulting NWCG document PMS 515 (NWCG Standards for Fire Unmanned Aircraft Systems Operations), it appeared that mission flights should be coordinated ""with participating aircraft when aerial supervision is not on scene."" (p. 4) Further consultation with the Forest FAO led to a discussion about the role of Dispatch during an operational flight on an extended attack fire. It was decided that Dispatch should call all the aircraft and confirm that they are aware of UAS operations in the area or call to confirm that the UAS is on the ground. In the end, this was a learning experience about UAS protocols. We (dispatch) familiarized ourselves with PMS 515 and had some good discussions about potential scenarios.  Ultimately, clear communication was identified as the key to successful operations. Arrival of a UAS on a fire is a trigger point that protocols for airspace coordination will need to be established. It is still not completely clear if there is a standard is for this situation or if protocols will be developed on a case-by-case basis. Another miscommunication: the logs for 6/11 indicated that the UAS and Helicopter would NOT be in the air at the same time. (It's not believed that they were ever in the air together) It was also realized that we didn't really have a clear plan for monitoring the UAS flight (no AFF or timers). Another discussion that arose is whether a qualified aircraft dispatcher is required to track UAS activity, especially during night operations, when staff may be limited. In sum, this was a valuable learning experience that brought up many new questions related to UAS operations and opened our eyes to potential issues. Going forward, we recommend wider distribution of PMS 515 and other UAS operational documents as well as more training and discussion about standard operating procedures.",Communications (Verbal),,,,,Procedures,,,"On 6/11/21, at approximately 12:00 MDT, UAS ""Unmanned Romeo 3"" called into Dispatch that they were taking off on a ""resource flight"" in the area of Borracho Canyon, near the edge of the Fire working within a 1.5-mile radius. Approximately 3.5 hours later, at 15:38, Helicopter XXX called Dispatch to announce that they would be flying a reconnaissance mission over the fire. At 15:49, the UAS operator called in to let us know that Unmanned Romeo was on the ground and they would let us know when they lifted again.","After consulting NWCG document PMS 515 (NWCG Standards for Fire Unmanned Aircraft Systems Operations), it appeared that mission flights should be coordinated ""with participating aircraft when aerial supervision is not on scene."" (","<pad> a UAS ""unmanned Romeo 3"" called into Dispatch about a ""resource flight"" helicopter XXX landed shortly after 16:00. Dispatch received a call from the IC that the crew had some concerns.</s>",<pad> a consultation with the Forest FAO led to a discussion about the role of Dispatch. arrival of a UAS on a fire is a trigger point for protocols for airspace coordination. the logs for 6/11 indicated the UAS and Helicopter would NOT be in the air at the same time.</s>,"On 6/11/21, at approximately 12:00 MDT, UAS ""Unmanned Romeo 3"" called into Dispatch that they were taking off on a ""resource flight"" in the area of Borracho Canyon, near the edge of the Fire working within a 1.5-mile radius. Approximately 3.5 hours later, at 15:38, Helicopter XXX called Dispatch to announce that they would be flying a reconnaissance mission over the fire. At 15:49, the UAS operator called in to let us know that Unmanned Romeo was on the ground and they would let us know when they lifted again. When Helicopter XXX landed, shortly after 16:00, Dispatch received a call from the IC that the UAS crew had some concerns that Dispatch did not alert them that the Helicopter was about to fly over the Fire. After consulting NWCG document PMS 515 (NWCG Standards for Fire Unmanned Aircraft Systems Operations), it appeared that mission flights should be coordinated ""with participating aircraft when aerial supervision is not on scene."" (p. 4) Further consultation with the Forest FAO led to a discussion about the role of Dispatch during an operational flight on an extended attack fire. It was decided that Dispatch should call all the aircraft and confirm that they are aware of UAS operations in the area or call to confirm that the UAS is on the ground. In the end, this was a learning experience about UAS protocols. We (dispatch) familiarized ourselves with PMS 515 and had some good discussions about potential scenarios.  Ultimately, clear communication was identified as the key to successful operations. Arrival of a UAS on a fire is a trigger point that protocols for airspace coordination will need to be established. It is still not completely clear if there is a standard is for this situation or if protocols will be developed on a case-by-case basis. Another miscommunication: the logs for 6/11 indicated that the UAS and Helicopter would NOT be in the air at the same time. (It's not believed that they were ever in the air together) It was also realized that we didn't really have a clear plan for monitoring the UAS flight (no AFF or timers). Another discussion that arose is whether a qualified aircraft dispatcher is required to track UAS activity, especially during night operations, when staff may be limited. In sum, this was a valuable learning experience that brought up many new questions related to UAS operations and opened our eyes to potential issues. Going forward, we recommend wider distribution of PMS 515 and other UAS operational documents as well as more training and discussion about standard operating procedures."
150,Forest Service (USFS),Coconino NF,Region 03 Southwest Region,HW 180 west of Flagstaff AZ off the junction of Forest service road 517c and 517d.,6/11/2021,8::02pm AM,,21-0348,"Fire, Infrared Imagery",,0.0,Off FS road 517C and 517D,West off of dozer line,No,No,No,No,,,Unmanned Aircraft System (UAS),DJI,Matrice 600,"Pilot was descending the aircraft for an accurate landing on the 3 x 3 ft. landing pad.  Approximately 1 ft ground the above, the pilot continued with pitch back inputs.  These inputs plus aircraft rotor wash and wind caused the aircraft to flip back resulting in damage to rear rotor and one GPS antenna.  There could be additional damage which is yet to be known.  There were no injuries to the pilot, visual observer, or any surrounding property.  The three previous flight by other pilots experienced similar environmental factors.",When coming into land aircraft you do not want to use any pitches at a low level of your landing site. If need be use full deflection should issues occur.,Pilot Action,,,Fleet Operation,,,,,"Pilot was descending the aircraft for an accurate landing on the 3 x 3 ft. Approximately 1 ft ground the above, the pilot continued with pitch back inputs. There could be additional damage which is yet to be known.",When coming into land aircraft you do not want to use any pitches at a low level of your landing site.,"<pad> pilot was descending the aircraft for an accurate landing on the 3 x 3 ft. landing pad. aircraft rotor wash and wind caused the aircraft to flip back resulting in damage to rear rotor. there were no injuries to the pilot, visual observer, or any surrounding property.</s>",<pad> when coming into land aircraft you do not want to use any pitches at a low level of your landing site. if need be use full deflection should issues occur. if need be use full deflection should issues occur.</s>,"Pilot was descending the aircraft for an accurate landing on the 3 x 3 ft. landing pad.  Approximately 1 ft ground the above, the pilot continued with pitch back inputs.  These inputs plus aircraft rotor wash and wind caused the aircraft to flip back resulting in damage to rear rotor and one GPS antenna.  There could be additional damage which is yet to be known.  There were no injuries to the pilot, visual observer, or any surrounding property.  The three previous flight by other pilots experienced similar environmental factors. When coming into land aircraft you do not want to use any pitches at a low level of your landing site. If need be use full deflection should issues occur."
151,Forest Service (USFS),Manti-Lasal NF,Region 04 Intermountain Region,Moab,6/16/2021,8:05 PM,,21-0379,"Fire, Water Drop (Helicopter Bucket)",Exclusive use contract,2.0,Pack Creek Helibase,Fire,No,No,No,No,,,Helicopter,,,At approximately 2005hrs on 6/16/2021 a drone was reported to be flying over pad 7 on the XXX helibase.  At that time we only had one aircraft airborne returning to the helibase.  The drone crossed the helibase from west to east low level above pad 7.  The helicopter manager for Pad 7 notified the helibase of the drones location and direction of travel.  Helibase personnel were able to keep the drone in sight confirming its location on the east side of the helibase.  The drone quickly changed direction and headed back to the west following its previous path.  Again helibase personnel were able to track the drone westbound out of the helibase airspace where our personnel lost visual contact.  After the drone was confirmed to be out of the airspace the helicopter landed safely at its pad.  The drone was not spotted again and notifications were made. ,"The inbound helicopter was notified of the drone and instructed to hold south of the helibase until the drone could be mitigated.  After the drone was witnessed leaving the airspace to the west the helicopter was able to land at their pad while helibase personnel continued to watch for the drone.  
There was a federal LEO who was providing overnight security for the helibase on site and they were able to contact local LEO's for assistance.  The drone operator was located within an hour of the incursion.  Notification were made to the local dispatch and team air operations staff.  The helicopter that held to the south was the last aircraft returning to the helibase and operations had been completed for the evening.",,,,Incursion,,,,,At approximately 2005hrs on 6/16/2021 a drone was reported to be flying over pad 7 on the XXX helibase. The drone quickly changed direction and headed back to the west following its previous path. Again helibase personnel were able to track the drone westbound out of the helibase airspace where our personnel lost visual contact.,The inbound helicopter was notified of the drone and instructed to hold south of the helibase until the drone could be mitigated.,<pad> drone crossed the helibase from west to east low level above pad 7. helibase personnel were able to keep the drone in sight confirming its location. the drone quickly changed direction and headed back to the west following its previous path.</s>,<pad> the drone was witnessed leaving the airspace to the west. helibase personnel were able to contact local LEO's for assistance. the drone operator was located within an hour of the incursion.</s>,"At approximately 2005hrs on 6/16/2021 a drone was reported to be flying over pad 7 on the XXX helibase.  At that time we only had one aircraft airborne returning to the helibase.  The drone crossed the helibase from west to east low level above pad 7.  The helicopter manager for Pad 7 notified the helibase of the drones location and direction of travel.  Helibase personnel were able to keep the drone in sight confirming its location on the east side of the helibase.  The drone quickly changed direction and headed back to the west following its previous path.  Again helibase personnel were able to track the drone westbound out of the helibase airspace where our personnel lost visual contact.  After the drone was confirmed to be out of the airspace the helicopter landed safely at its pad.  The drone was not spotted again and notifications were made.  The inbound helicopter was notified of the drone and instructed to hold south of the helibase until the drone could be mitigated.  After the drone was witnessed leaving the airspace to the west the helicopter was able to land at their pad while helibase personnel continued to watch for the drone.  
There was a federal LEO who was providing overnight security for the helibase on site and they were able to contact local LEO's for assistance.  The drone operator was located within an hour of the incursion.  Notification were made to the local dispatch and team air operations staff.  The helicopter that held to the south was the last aircraft returning to the helibase and operations had been completed for the evening."
