,index,Lesson(s) Learned Level 1,Lesson(s) Learned Level 2,Driving Event Level 1,Driving Event Level 2,Recommendation(s) Level 1,Recommendation(s) Level 2,Lesson IDs for row,Number of lessons for row,,,,
1123,738,"mount, improper, difficult, detect, screw, maintenance, effect, indicator, analysis, hazard","long term, term, plan, ship, long, produce, large, issue, qualify, material","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","injury, foot, approximately, crane, platform, side, technician, lift, floor, employee","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[1015, 1032]",2,,,,
1132,457,"mount, improper, difficult, detect, screw, maintenance, effect, indicator, analysis, hazard","mishap investigation, upper, recent, recommendation, finding, body, mistake, undetected, periodically, left","management, project, lack, formal, manager, organization, contractor, request, risk, development","lander, exploration rover, rover, land, martian, additional word, exploration, entry descent land, entry, entry descent","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector","commercial, logic, usage, behavior, assumption, reporting, actual, less, developed, action","[1483, 2156]",2,,,,
1147,556,"mount, improper, difficult, detect, screw, maintenance, effect, indicator, analysis, hazard","review board, defect, undetected, mean, schedule impact, consideration give, trace, increase cost, cost, stage","management, project, lack, formal, manager, organization, contractor, request, risk, development","international space, huygens probe, software development, cassini spacecraft, international space station, probe, european space agency, european space, cassini, operation atlo","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","emergency, emergency response, alarm, building, protective, hazardous condition, annual, responsible, facility, service","[1205, 1308]",2,,,,
1165,489,"mount, improper, difficult, detect, screw, maintenance, effect, indicator, analysis, hazard","test article, article, many case, store, connect, check, prior, potential hazard, vapor, module","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","engine, main engine, main, space shuttle, abort, ssme, fuel pump, command data simulator, data simulator, large amount","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[1390, 1395]",2,,,,
1170,365,"mount, improper, difficult, detect, screw, maintenance, effect, indicator, analysis, hazard","test article, article, many case, store, connect, check, prior, potential hazard, vapor, module","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","travel wave, tube amplifier, amplifier, telemetry, twta, wave, downlink, radio, relevant, tube","electronics, tape, scenario, spacecraft, possibility, vent, consideration, position, significant, capability","flexible, encourage, produce, orbit, adopt, lack, contribute, mitigate, single, future","[1597, 1796]",2,,,,
1179,1110,"mount, improper, difficult, detect, screw, maintenance, effect, indicator, analysis, hazard","test article, article, many case, store, connect, check, prior, potential hazard, vapor, module","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","attitude, attitude control, reaction wheel, anomaly, fault protection, surprise, command, incident surprise, aacs, spacecraft attitude","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[567, 1357]",2,,,,
1180,1392,"mount, improper, difficult, detect, screw, maintenance, effect, indicator, analysis, hazard","test article, article, many case, store, connect, check, prior, potential hazard, vapor, module","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","attitude, attitude control, reaction wheel, anomaly, fault protection, surprise, command, incident surprise, aacs, spacecraft attitude","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space shuttle, space station, prime contractor, mate demate, safety mission assurance, access platform, mission assurance, shuttle, segment, avionics","[120, 139]",2,,,,
1198,1440,"platform, hoist, break, inadequate, free, emergency, stop, antenna, allow, access","distribute, implement, active, effectively, physical, characteristic, measure, able, appropriate, understand","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","venus, scan platform, scan, mapping, solar panel, workarounds, eject, ejection, voyager, additional","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","valve, install, vent line, high pressure, check valve, utilize, prevent inadvertent, operation, system, vacuum","[64, 19601]",2,,,,
1206,204,"platform, hoist, break, inadequate, free, emergency, stop, antenna, allow, access","insert, loose, screw, prior launch, detail, specify, show, frame, percent, contribute factor","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","venus, scan platform, scan, mapping, solar panel, workarounds, eject, ejection, voyager, additional","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[569, 4417, 5456]",3,,,,
1213,1353,"platform, hoist, break, inadequate, free, emergency, stop, antenna, allow, access","property, built, record, frame, bridge, paperwork, quality control, bond, coordination, prime","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","travel wave, tube amplifier, amplifier, telemetry, twta, wave, downlink, radio, relevant, tube","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify","piece part, mechanical, paper, relief, intend, verify, property, mount, stress, qualification","[178, 3157]",2,,,,
1218,404,"production, packaging, destructive, package, radiation, compliance, application, risk, paperwork, body","different, particular, insufficient, manufacturing, manufacturer, eliminate, component, type, example, inspection","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","follow recommendation, torque analog, base legacy, need great hinge, necessary torque include, great hinge, redesign accommodate, system redesign digital, redesign digital, flight pegasus","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","permanently, handbook, content, tether, line management, specifically, attach, general, aware, handle","[1608, 1840]",2,,,,
1234,1003,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","conservative, structural, complex, analysis, model, static, weight, mount, dynamic, perform","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","optic, spherical, aberration, lens, spie, optical, focal, plane, beam, mirror","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[471, 699]",2,,,,
1248,1524,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","conservative, structural, complex, analysis, model, static, weight, mount, dynamic, perform","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","attributable, propagate, caltech, redact, itar, touchdown, terrain, regulation, traffic, copy","vacuum, extend period, plate, hour, extend, carefully, consider, mount, period, temperature","mishap investigation, mishap, investigation, preliminary, timely manner, compound, official, balance, excessive, subsequently","[14, 75]",2,,,,
1250,581,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","conservative, structural, complex, analysis, model, static, weight, mount, dynamic, perform","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","relevant historical, relevant, historical, solder, print, solder joint, print wiring, conformal, conformal coat, viking","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space flight, research center, prior start, high voltage, high temperature, take account, training certification, power source, potential hazard, test article","[262, 1262]",2,,,,
1257,148,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","level requirement, configuration management, team member, international, government, discipline, station, short, many, personnel involve","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","provide traceability, socket, first step, insure, extravehicular activity, part list, traceability, aspect, spot, care","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","space flight, research center, prior start, high voltage, high temperature, take account, training certification, power source, potential hazard, test article","[1733, 5201, 25801]",3,,,,
1290,1283,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","life cycle, real time, well understood, reduce risk, impact nonpractice, careful consideration, meet requirement, launch vehicle, high voltage, power supply","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","random vibration, random vibration test, sinusoidal, random, octave, dynamic, vibration reliability prefer, vibroacoustic, sine, predict","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[151, 334]",2,,,,
1296,500,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","life cycle, real time, well understood, reduce risk, impact nonpractice, careful consideration, meet requirement, launch vehicle, high voltage, power supply","breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving","engine, main engine, main, space shuttle, abort, ssme, fuel pump, command data simulator, data simulator, large amount","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","preliminary design, preliminary, maintenance activity, give, build, ground processing, reach, milestone, development, consideration","[1316, 1387]",2,,,,
1305,1054,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","life cycle, real time, well understood, reduce risk, impact nonpractice, careful consideration, meet requirement, launch vehicle, high voltage, power supply","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","provide traceability, socket, first step, insure, extravehicular activity, part list, traceability, aspect, spot, care","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","emergency, emergency response, alarm, building, protective, hazardous condition, annual, responsible, facility, service","[645, 855]",2,,,,
1333,1638,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","life cycle, real time, well understood, reduce risk, impact nonpractice, careful consideration, meet requirement, launch vehicle, high voltage, power supply","management, project, lack, formal, manager, organization, contractor, request, risk, development","lander, exploration rover, rover, land, martian, additional word, exploration, entry descent land, entry, entry descent","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","hardware software, manufacturing process, prior launch, full range, environmental condition, corrective action, concurrent engineering, solid state, operating condition, failure mode","[262, 1262]",2,,,,
1336,241,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","life cycle, real time, well understood, reduce risk, impact nonpractice, careful consideration, meet requirement, launch vehicle, high voltage, power supply","management, project, lack, formal, manager, organization, contractor, request, risk, development","quick disconnect, orbiter, shuttle, space shuttle, disconnect, orbiter processing, space shuttle orbiter, processing, line replaceable, ground umbilical","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing","change, deviation, installation, document, write, procedure, work authorization, pressurize, caution, temporary","[298, 3640]",2,,,,
1366,319,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","life cycle, real time, well understood, reduce risk, impact nonpractice, careful consideration, meet requirement, launch vehicle, high voltage, power supply","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","attributable, propagate, caltech, redact, itar, touchdown, terrain, regulation, traffic, copy","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","carefully evaluate, carefully review, heat, control, coat, significantly, evaluate, carefully, margin, thermal","[1582, 2057]",2,,,,
1390,623,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","life cycle, real time, well understood, reduce risk, impact nonpractice, careful consideration, meet requirement, launch vehicle, high voltage, power supply","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","logistics module, multi purpose, traffic, foreign, troubleshoot, ingres, vertically, accessible, foreign object, access","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[1205, 1308]",2,,,,
1402,840,"purge, propellant, engine, liquid, line, propulsion, valve, operating condition, acceptance, length","project manager, left, roll, back, view, move, place, loose, shift, fracture","management, project, lack, formal, manager, organization, contractor, request, risk, development","quick disconnect, orbiter, shuttle, space shuttle, disconnect, orbiter processing, space shuttle orbiter, processing, line replaceable, ground umbilical","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","replace, inspect, block, contamination, hole, exist, completely, variety, fill, complete","[98, 859]",2,,,,
1414,1369,"replacement, individual, assembly, point, flight hardware, breakdown, incorrectly, module, confirm, vibration","cryogenic temperature, cryogenic, temperature, quality control, manufacture, external, eliminate, take, part, fracture","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","skirt, solid rocket, solid rocket booster, throat, external tank, installation removal, money, team member, adapter, plug","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","vent, pressure, leak check, monitor, integrity, back, provide, design, interface, concentration","[151, 334]",2,,,,
1415,171,"replacement, individual, assembly, point, flight hardware, breakdown, incorrectly, module, confirm, vibration","movement, aware, right, instruction, zero, secure, detailed, properly, allow, schedule","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","connector, discharge, electrostatic, voltage, electrostatic discharge, electrical, additional word, chassis, shield, harness","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","solder, research, indicate, instal, investigate, completion, avoid, experiment, connector, indication","[76, 6416]",2,,,,
1440,1129,"replacement, individual, assembly, point, flight hardware, breakdown, incorrectly, module, confirm, vibration","transient, steady, noise, circuit, state, digital, rate, pump, power, anomalous","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","logistics module, multi purpose, traffic, foreign, troubleshoot, ingres, vertically, accessible, foreign object, access","risk assessment, self, orbital, constant, minute, radio frequency, personal, occurs, budget schedule, nature","late development, presentation, decision make, weekly, furthermore, contains, conflict, pull, face, schedule budget","[541, 1230]",2,,,,
1460,990,"scientific data, orbit, magnetic, scientific, attitude control system, interference, increase, data, nonpractice, attitude control","mishap investigation, strength, limited, board, current, inadequate, reliance, contribute factor, certain, simply","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","gauss, magnetic, magnetization, demagnetization, magnetize, moment, dipole, attachment point, alloy, disturbance","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[706, 721]",2,,,,
1483,1356,"segment, challenge, resolution, vehicle, link, share, thermal vacuum test, propellant tank, substitute, front","orbiter, disconnect, helium, component, operating, cell, result, onboard, load, fuel cell","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","vacuum chamber, fourier transform, focal plane, spectrometer, fourier, transform, resolve issue, focal, clean room, take account","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","special, special attention, attention, possibility, path, raise, optical, permit, particularly, change","[188, 10701]",2,,,,
1525,619,"stress, analysis, qualification, test, hardware, temperature, limit, additional, component, operating","mechanical, specific, vibration, caution, industry, characterize, rely, compare, generally, property","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","mishap occur, wind tunnel, research center, close call, serious injury, investigate committee, constellation program, tunnel, explosion occur, bolt remove","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","close proximity, proximity, panel, detail, keep, crew, eliminate, list, task briefing, distance","[274, 1215]",2,,,,
1527,1527,"stress, analysis, qualification, test, hardware, temperature, limit, additional, component, operating","mechanical, specific, vibration, caution, industry, characterize, rely, compare, generally, property","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","ventilation, fire department, alarm, perform task, general purpose, scene, technician perform task, extinguisher, fire alarm, contribute","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","special, special attention, attention, possibility, path, raise, optical, permit, particularly, change","[259, 3316]",2,,,,
1534,1326,"stress, analysis, qualification, test, hardware, temperature, limit, additional, component, operating","operate, device, improperly, construction, solid, size, regard, proper, application, available","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","injury, foot, approximately, crane, platform, side, technician, lift, floor, employee","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","original, employ, modify, force, replace, continue, application, equipment, memory, vulnerability","[225, 607, 609, 16901]",4,,,,
1541,702,"stress, analysis, qualification, test, hardware, temperature, limit, additional, component, operating","operate, device, improperly, construction, solid, size, regard, proper, application, available","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","extravehicular mobility, extravehicular mobility unit, mishap investigation, thin wall, thin, wall, steam line, catastrophic failure, steam, exhaust","rate, destructive, solar, earth, appear, radiation, acceptable, general, state, error","conduct periodic, corrective, action, close loop, inspection, prepare, periodic, corrective action, closeout, conduct independent","[89, 1114]",2,,,,
1550,1593,"wear, accident, excess, strength, injury, found, high, inspection, hydraulic, worker","solid propellant, ring, joint, solid rocket motor, solid rocket, seal, motor, electrostatic discharge, insulation, rocket","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","elastic, cure, physical property, laminate, woven, modulus, tape, fabric, resin, composition","remote, compliance, pressurization, analysis fmea, rigor, fmea, exists, correction, pressure, human factor","assure adequate, insulate, electrostatic discharge, power, conductive, ground, discharge, circuit, connection, range","[102, 212, 301, 484, 990, 1428]",6,,,,
1556,271,"wear, accident, excess, strength, injury, found, high, inspection, hydraulic, worker","solid propellant, ring, joint, solid rocket motor, solid rocket, seal, motor, electrostatic discharge, insulation, rocket","click view, click, video, quicktime, version video, version, view, airlock, discussion, hatch","receiver, destruct, range safety, clock, transmitter, officer, susceptible, error detection, eastern, protects","composite, composite material, cleanliness, seal, material, contamination, material property, precision, life cycle, inspection","whenever possible, hazardous operation, much, look, replacement, whenever, success, subject, well, balance","[178, 3157]",2,,,,
1580,783,"wear, accident, excess, strength, injury, found, high, inspection, hydraulic, worker","solid propellant, ring, joint, solid rocket motor, solid rocket, seal, motor, electrostatic discharge, insulation, rocket","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","rocket motor, challenger, case nozzle, review joint solid, challenger space shuttle, trigger detailed, joint catastrophic, challenger space, encounter challenger, rocket motor analysis","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","preferably, trade, language, actively, volume, screen, trade study, group, success, estimate","[948, 966]",2,,,,
1587,1261,"wear, accident, excess, strength, injury, found, high, inspection, hydraulic, worker","solid propellant, ring, joint, solid rocket motor, solid rocket, seal, motor, electrostatic discharge, insulation, rocket","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","columbia accident, thermal protection system, thermal protection, limit switch, columbia, investigation board, accident, external tank, extend duration, lightning strike","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component","eliminate, reexamine, provide sufficient, effort, motor, upgrade, static, safety, supplier, risk","[153, 321, 344]",3,,,,
1611,1099,"wiring, harness, connector, train, post, wire, fabrication, enough, avoid, proper","hazard analysis, manufacturer recommendation, corrective action, communication, potentially hazardous, effective communication, injury, information, high value, daily","management, project, lack, formal, manager, organization, contractor, request, risk, development","quick disconnect, orbiter, shuttle, space shuttle, disconnect, orbiter processing, space shuttle orbiter, processing, line replaceable, ground umbilical","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","flight hardware, configuration control, fail safe, make sure, launch vehicle, quality assurance, project manager, personnel involve, period time, high fidelity","[175, 580]",2,,,,
1618,1471,"wiring, harness, connector, train, post, wire, fabrication, enough, avoid, proper","hazard analysis, manufacturer recommendation, corrective action, communication, potentially hazardous, effective communication, injury, information, high value, daily","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","fiber optic, fiber, optic, fiber optic cable, transmission, launch countdown, receives, receiver, hardware software, input signal","briefing, maximum, move, crew, practice, safe, communication, vehicle, land, verify","locate, shop, removal, authorization, work authorization document, approximately, control room, work authorization, discover, room","[45, 447]",2,,,,
